id,name,energy_efficiency,due_date,class,wall_material,n_finish_types,layout_variation,n_floors,n_flats,life_space,av_flat,min_ceiling_height,max_ceiling_height,bike_paths,n_playgrounds,n_sportsgrounds,n_p_s_grounds,n_garbage_sites,n_parking_places,ramp,lowering_platforms,n_wheelchair_lifts,low_mobility_facilities,n_entrances,n_p_lifts,n_f_lifts,n_lifts,lift_ratio,infrastr_access,transport_access,green_areas,air_quality
43939,"Дом ""Булычев""",A,2024Q2,Элитный,Монолит-кирпич,0,True,20,123,10561.0,85.86178861788618,3.0,3.6,True,1,1,2,1,121,True,True,0,0.5,2,4,2,6,17.732499999999998,10,,,
43743,"Жилой комплекс ""ВИДНЫЙ"" (ЖК ""ВИДНЫЙ"")",B,2025Q2,Комфорт,Монолит-кирпич,1,False,26,384,21112.0,54.979166666666664,3.0,3.0,False,1,1,2,1,210,True,True,0,0.5,2,0,6,6,57.35384615384615,9,,,
44326,ЖК SMART PARK на Воинской,B,2024Q3,Комфорт,Кирпич,1,False,15,288,15133.0,52.545138888888886,2.7,3.0,False,1,1,2,1,71,True,True,0,0.5,3,0,6,6,39.36,8,9.0,,
39692,"ЖК ""Новатор"" Литер 5 секции АБВГ",C,2026Q1,Комфорт,Монолит-кирпич,1,True,23,682,30760.0,45.10263929618768,2.7,2.7,True,1,1,2,1,231,True,True,0,0.5,4,2,9,11,54.72173913043478,9,,,
45116,"г. Красноярск, ул Академгородок, д. 8",B,2024Q4,Комфорт,Кирпич,1,False,15,268,19570.0,73.0223880597015,2.78,2.93,False,1,3,4,0,179,False,True,0,0.5,8,2,8,10,21.976,7,,,
54477,"Жилой комплекс ""Ленинградский квартал""",B,2024Q2,Типовой,Другое,1,False,17,201,12023.0,59.81592039800995,2.8,2.8,False,0,0,0,1,198,True,True,0,0.5,3,3,3,6,28.17941176470588,8,,,
48402,"Жилой комплекс ""Универс"" 2 очередь",A+,2025Q3,Комфорт,Монолит-кирпич,0,False,25,515,24921.0,48.390291262135925,2.7,2.7,False,1,1,2,1,233,False,True,0,0.5,4,4,5,9,51.04222222222222,8,,,
50781,ЖК Символ,A,2025Q1,Бизнес,Кирпич,0,False,5,64,3132.0,48.9375,2.7,2.7,False,1,1,2,1,20,True,True,0,0.5,2,0,2,2,14.719999999999999,7,,,
44494,"ЖК ""Времена года"" Дом 2 ""Лето красное""",B,2024Q4,Типовой,Монолит-кирпич,1,False,19,323,12810.0,39.6594427244582,2.55,2.55,False,1,1,2,1,44,False,True,0,0.5,2,2,2,4,69.275,3,,,
35065,"г. Екатеринбург, пер Сухумский",B,2025Q1,Бизнес,Монолит-кирпич,1,True,7,40,2879.0,71.975,2.7,2.7,False,1,1,2,0,64,False,True,0,0.5,1,1,0,1,24.57142857142857,7,7.0,,
26045,"г. Краснодар, ул Баха, д. 11",B,2024Q4,Комфорт,Монолит-кирпич,1,False,2,9,1579.0,175.44444444444446,2.92,2.92,False,1,1,2,1,37,True,True,0,0.5,9,0,0,0,0,6,,,
49028,"г. Тверь, ул Склизкова, д. 58А, корпус 2",B,2024Q3,Комфорт,Кирпич,1,True,6,38,2382.0,62.68421052631579,2.95,2.95,False,1,1,2,1,24,False,True,0,0.5,2,2,0,2,10.45,9,,,
47466,"г. Краснодар, литера 2.4",C,2026Q2,Комфорт,Монолит-кирпич,1,False,10,272,15047.0,55.31985294117647,2.7,2.7,False,1,1,2,0,11,True,True,0,0.5,7,7,7,14,14.182857142857143,6,,,
